level,cell1_shape1,cell1_size1,cell1_color1,cell1_shape2,cell1_size2,cell1_color2,cell2_shape1,cell2_size1,cell2_color1,cell2_shape2,cell2_size2,cell2_color2,cell3_shape1,cell3_size1,cell3_color1,cell3_shape2,cell3_size2,cell3_color2,choice1_shape1,choice1_size1,choice1_color1,choice1_shape2,choice1_size2,choice1_color2,choice2_shape1,choice2_size1,choice2_color1,choice2_shape2,choice2_size2,choice2_color2,choice3_shape1,choice3_size1,choice3_color1,choice3_shape2,choice3_size2,choice3_color2,choice4_shape1,choice4_size1,choice4_color1,choice4_shape2,choice4_size2,choice4_color2,correctChoice_shape1,correctChoice_size1,correctChoice_color1,correctChoice_shape2,correctChoice_size2,correctChoice_color2,correctChoiceNumber,difficulty
4,circle,small,red,triangle,big,blue,circle,small,red,square,big,blue,circle,small,none,triangle,big,red,circle,small,red,triangle,big,none,circle,small,none,square,big,red,circle,small,blue,square,big,red,circle,small,red,triangle,big,blue,circle,small,none,square,big,red,2,hard
4,heart,small,red,star,big,blue,heart,small,blue,star,big,red,heart,small,none,star,big,blue,heart,small,blue,star,big,none,heart,small,none,square,big,blue,heart,small,blue,square,big,red,heart,small,red,star,big,blue,heart,small,blue,star,big,none,1,hard
4,square,small,blue,circle,big,red,square,small,blue,triangle,big,red,square,small,red,circle,big,none,square,small,blue,circle,big,none,square,small,none,triangle,big,red,square,small,red,triangle,big,none,square,small,blue,circle,big,red,square,small,red,triangle,big,none,3,hard
4,triangle,small,none,heart,big,red,triangle,small,none,star,big,red,triangle,small,red,heart,big,blue,triangle,small,none,heart,big,blue,triangle,small,blue,star,big,red,triangle,small,red,star,big,none,triangle,small,red,star,big,blue,triangle,small,red,star,big,blue,4,hard
4,square,small,blue,square,big,red,square,small,blue,square,big,red,circle,small,blue,circle,big,red,star,small,red,star,big,blue,circle,small,blue,circle,big,red,square,small,red,square,big,blue,circle,small,red,circle,big,blue,circle,small,blue,circle,big,red,2,hard
4,square,small,none,square,big,red,square,small,none,square,big,red,circle,small,none,circle,big,red,circle,small,none,circle,big,red,circle,small,none,circle,big,blue,square,small,none,square,big,blue,triangle,small,red,triangle,big,none,circle,small,none,circle,big,red,1,hard
4,triangle,small,red,triangle,big,blue,triangle,small,red,triangle,big,blue,triangle,small,blue,triangle,big,red,square,small,red,square,big,blue,triangle,small,red,triangle,big,blue,triangle,small,blue,triangle,big,red,circle,small,blue,circle,big,red,triangle,small,blue,triangle,big,red,3,hard
4,heart,small,red,heart,big,blue,square,small,red,square,big,blue,star,small,red,star,big,blue,heart,small,blue,heart,big,none,square,small,red,square,big,none,star,small,none,star,big,red,triangle,small,red,triangle,big,blue,triangle,small,red,triangle,big,blue,4,hard
4,square,small,blue,square,big,red,circle,small,blue,square,big,red,square,small,none,square,big,red,circle,small,red,square,big,none,triangle,small,none,heart,big,red,circle,small,none,square,big,red,square,small,none,circle,big,red,circle,small,none,square,big,red,3,hard
4,star,small,none,heart,big,blue,heart,small,none,star,big,blue,triangle,small,none,circle,big,blue,circle,small,none,triangle,big,blue,triangle,small,blue,circle,big,none,square,small,none,triangle,big,blue,star,small,none,triangle,big,blue,circle,small,none,triangle,big,blue,1,hard
